energy,intensity,InitialState,FinalState,alpha,Hf,gamma
0.00,16.0,0.000_210PB,0.000_210BI,0,700188000.0,0
0.00,84.0,0.000_210PB,46.539_210BI,0,700188000.0,0
0.00,0.58,0.000_214BI,609.316_214PO,0,1194.0,0
0.00,7.35,0.000_214BI,1377.678_214PO,0,1194.0,0
0.00,0.89,0.000_214BI,1415.495_214PO,0,1194.0,0
0.00,3.12,0.000_214BI,1543.372_214PO,0,1194.0,0
0.00,0.61,0.000_214BI,1661.279_214PO,0,1194.0,0
0.00,0.163,0.000_214BI,1712.970_214PO,0,1194.0,0
0.00,17.57,0.000_214BI,1729.609_214PO,0,1194.0,0
0.00,0.125,0.000_214BI,1742.980_214PO,0,1194.0,0
0.00,16.96,0.000_214BI,1764.515_214PO,0,1194.0,0
0.00,8.14,0.000_214BI,1847.443_214PO,0,1194.0,0
0.00,1.588,0.000_214BI,1890.306_214PO,0,1194.0,0
0.00,1.177,0.000_214BI,1994.640_214PO,0,1194.0,0
0.00,1.431,0.000_214BI,2010.830_214PO,0,1194.0,0
0.00,2.45,0.000_214BI,2017.309_214PO,0,1194.0,0
0.00,0.102,0.000_214BI,2088.440_214PO,0,1194.0,0
0.00,4.345,0.000_214BI,2118.533_214PO,0,1194.0,0
0.00,0.444,0.000_214BI,2147.830_214PO,0,1194.0,0
0.00,0.855,0.000_214BI,2192.537_214PO,0,1194.0,0
0.00,5.6,0.000_214BI,2204.089_214PO,0,1194.0,0
0.00,0.196,0.000_214BI,2266.410_214PO,0,1194.0,0
0.00,0.557,0.000_214BI,2293.358_214PO,0,1194.0,0
0.00,0.00014,0.000_214BI,2348.300_214PO,0,1194.0,0
0.00,0.012,0.000_214BI,2360.570_214PO,0,1194.0,0
0.00,0.074,0.000_214BI,2423.230_214PO,0,1194.0,0
0.00,2.78,0.000_214BI,2447.702_214PO,0,1194.0,0
0.00,1.244,0.000_214BI,2482.468_214PO,0,1194.0,0
0.00,0.173,0.000_214BI,2505.370_214PO,0,1194.0,0
0.00,0.123,0.000_214BI,2508.170_214PO,0,1194.0,0
0.00,0.044,0.000_214BI,2544.960_214PO,0,1194.0,0
0.00,0.0001,0.000_214BI,2553.000_214PO,0,1194.0,0
0.00,0.00018,0.000_214BI,2562.400_214PO,0,1194.0,0
0.00,0.15,0.000_214BI,2604.680_214PO,0,1194.0,0
0.00,0.036,0.000_214BI,2630.860_214PO,0,1194.0,0
0.00,0.127,0.000_214BI,2662.310_214PO,0,1194.0,0
0.00,0.292,0.000_214BI,2694.620_214PO,0,1194.0,0
0.00,0.104,0.000_214BI,2698.760_214PO,0,1194.0,0
0.00,0.267,0.000_214BI,2719.270_214PO,0,1194.0,0
0.00,0.538,0.000_214BI,2728.609_214PO,0,1194.0,0
0.00,0.05,0.000_214BI,2769.940_214PO,0,1194.0,0
0.00,0.047,0.000_214BI,2785.960_214PO,0,1194.0,0
0.00,0.033,0.000_214BI,2826.980_214PO,0,1194.0,0
0.00,0.032,0.000_214BI,2860.890_214PO,0,1194.0,0
0.00,0.014,0.000_214BI,2869.600_214PO,0,1194.0,0
0.00,0.0114,0.000_214BI,2880.360_214PO,0,1194.0,0
0.00,0.0108,0.000_214BI,2893.580_214PO,0,1194.0,0
0.00,0.0045,0.000_214BI,2896.980_214PO,0,1194.0,0
0.00,0.0014,0.000_214BI,2919.500_214PO,0,1194.0,0
0.00,0.02225,0.000_214BI,2921.900_214PO,0,1194.0,0
0.00,0.0011,0.000_214BI,2928.560_214PO,0,1194.0,0
0.00,0.00217,0.000_214BI,2934.540_214PO,0,1194.0,0
0.00,0.041,0.000_214BI,2940.670_214PO,0,1194.0,0
0.00,0.0004,0.000_214BI,2962.800_214PO,0,1194.0,0
0.00,0.0168,0.000_214BI,2978.930_214PO,0,1194.0,0
0.00,0.0089,0.000_214BI,2986.240_214PO,0,1194.0,0
0.00,0.0104,0.000_214BI,3000.000_214PO,0,1194.0,0
0.00,0.007,0.000_214BI,3003.400_214PO,0,1194.0,0
0.00,0.043,0.000_214BI,3014.110_214PO,0,1194.0,0
0.00,0.038,0.000_214BI,3053.930_214PO,0,1194.0,0
0.00,0.0073,0.000_214BI,3081.800_214PO,0,1194.0,0
0.00,0.0014,0.000_214BI,3094.010_214PO,0,1194.0,0
0.00,0.0021,0.000_214BI,3142.580_214PO,0,1194.0,0
0.00,9e-05,0.000_214BI,3149.200_214PO,0,1194.0,0
0.00,0.00079,0.000_214BI,3160.300_214PO,0,1194.0,0
0.00,0.00014,0.000_214BI,3173.300_214PO,0,1194.0,0
0.00,0.0019,0.000_214BI,3183.650_214PO,0,1194.0,0
